,0
0,9-8 6.02 ERA
1,3-3 4.20 ERA
2,1-1 4.20 ERA PRIM
3,1-3 7.96 ERA
4,0-1 3.86 ERA PRIM
5,10-8 3.51 ERA
6,15-8 3.03 ERA
7,10-8 3.58 ERA
8,12-7 4.09 ERA
9,7-4 3.28 ERA
10,6-2 3.90 ERA
11,7-8 3.64 ERA
12,5-5 3.94 ERA
13,7-8 3.84 ERA
14,0-2 5.31 ERA
15,8-6 5.30 ERA PRIM
16,6-7 3.56 ERA PRIM
17,6-11 5.49 ERA
18,3-5 4.57 ERA
19,6-5 3.03 ERA
20,12-8 3.45 ERA
21,2-3 4.34 ERA
22,10-4 3.99 ERA
23,0-0 .00 ERA
24,6-5 4.74 ERA
25,7-8 3.67 ERA
26,11-6 4.11 ERA
27,12-9 3.57 ERA
28,3-1 2.93 ERA
29,2-1 4.11 ERA
30,12-7 3.31 ERA
31,3-1 3.04 ERA PRIM
