Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Starter,Pitcher,Park,Runs,Weight,FPG,Own
64496-16956:Gerrit Cole,64496-16956,P,Gerrit,Gerrit Cole,Cole,33.84380952,28,11000,NYY@BOS,NYY,BOS,,,,Yes,,P,1,34.22222222,,4.7,,42.42857143,
64496-82554:Shane Bieber,64496-82554,P,Shane,Shane Bieber,Bieber,36.39705334,14,10700,CWS@CLE,CLE,CWS,,,,Yes,,P,1,33.94255875,,4,,46.35714286,
64496-13233:Nathan Eovaldi,64496-13233,P,Nathan,Nathan Eovaldi,Eovaldi,25.75005525,30,10000,NYY@BOS,BOS,NYY,,,,Yes,,P,1,25.96685083,,4.4,,32.86666667,
64496-60639:Jose Berrios,64496-60639,P,Jose,Jose Berrios,Berrios,26.20305177,30,9700,TOR@MIN,TOR,MIN,,,,Yes,,P,1,25.47683924,,4.9,,34.2,
64496-63781:Frankie Montas,64496-63781,P,Frankie,Frankie Montas,Montas,26.96482759,30,9300,HOU@OAK,OAK,HOU,,,,Yes,,P,1,26.48275862,,4.2,,34.5,
64496-79091:Dylan Cease,64496-79091,P,Dylan,Dylan Cease,Cease,27.27064852,31,9000,CWS@CLE,CWS,CLE,,,,Yes,,P,1,31.59463487,,4.1,,32.38709677,
64496-17064:Sonny Gray,64496-17064,P,Sonny,Sonny Gray,Gray,24.60763602,24,8800,WSH@CIN,CIN,WSH,,,,Yes,,P,1,27.39212008,,4.9,,30.58333333,
64496-12936:Kyle Gibson,64496-12936,P,Kyle,Kyle Gibson,Gibson,21.94821847,29,8600,PIT@PHI,PHI,PIT,,,,Yes,,P,1,19.88716502,,5.2,,30.10344828,
64496-102489:Carlos Hernandez,64496-102489,P,Carlos,Carlos Hernandez,Hernandez,15.38711603,23,8300,KC@DET,KC,DET,,,,Yes,,P,1,21.59763314,,4.6,,17.91304348,
64496-102396:Logan Gilbert,64496-102396,P,Logan,Logan Gilbert,Gilbert,21.85200716,22,8200,SEA@LAA,SEA,LAA,,,,Yes,,P,1,26.25820569,,4.2,,26.09090909,
64496-79226:Eric Lauer,64496-79226,P,Eric,Eric Lauer,Lauer,20.8663354,23,8100,NYM@MIL,MIL,NYM,,,,Yes,,P,1,23.80952381,,4.3,,25.73913043,
64496-5522:Zack Greinke,64496-5522,P,Zack,Zack Greinke,Greinke,19.10036487,29,8000,HOU@OAK,HOU,OAK,,,,Yes,,P,1,17.00581395,,3.9,,25.93103448,
64496-154714:Tylor Megill,64496-154714,P,Tylor,Tylor Megill,Megill,22.43745614,16,7800,NYM@MIL,NYM,MIL,,,,Yes,,P,1,26.60818713,,3.8,,26.625,
64496-80409:Paolo Espino,64496-80409,P,Paolo,Paolo Espino,Espino,13.54566845,33,7700,WSH@CIN,WSH,CIN,,,,Yes,,P,1,21.17647059,,3.7,,14.45454545,
64496-101819:Jose Suarez,64496-101819,P,Jose,Jose Suarez,Suarez,17.36531597,21,7500,SEA@LAA,LAA,SEA,,,,Yes,,P,1,21.17962466,,3.9,,20.95238095,
64496-38028:Alex Wood,64496-38028,P,Alex,Alex Wood,Wood,22.92544118,24,7300,SF@COL,SF,COL,,,,Yes,,P,1,25.55147059,,7.1,,30.16666667,
64496-85253:Casey Mize,64496-85253,P,Casey,Casey Mize,Mize,18.45205479,28,7200,KC@DET,DET,KC,,,,Yes,,P,1,19.00684932,,4.5,,24.25,
64496-102343:Tony Gonsolin,64496-102343,P,Tony,Tony Gonsolin,Gonsolin,16.27044776,15,7100,LAD@ARI,LAD,ARI,,,,Yes,,P,1,26.3681592,,6.1,,18,
64496-145612:Bailey Ober,64496-145612,P,Bailey,Bailey Ober,Ober,19.26194399,19,7000,TOR@MIN,MIN,TOR,,,,Yes,,P,1,25.06963788,,4.2,,22.36842105,
64496-82599:Edward Cabrera,64496-82599,P,Edward,Edward Cabrera,Cabrera,13.1373913,5,6500,MIA@TB,MIA,TB,,,,Yes,,P,1,17.39130435,,3.3,,15.4,
64496-102530:Spencer Howard,64496-102530,P,Spencer,Spencer Howard,Howard,11.27691176,17,6300,TEX@BAL,TEX,BAL,,,,Yes,,P,1,23.95833333,,4.6,,9.882352941,
64496-137410:Humberto Castellanos,64496-137410,P,Humberto,Humberto Castellanos,Castellanos,10.28221477,12,5600,LAD@ARI,ARI,LAD,,,,Yes,,P,1,16.10738255,,4,,11.75,
64496-137410:Humberto Castellanos,64496-137410,P,Humberto,Humberto Castellanos,Castellanos,10.28221477,12,5600,LAD@ARI,ARI,LAD,,,,Yes,,P,1,16.10738255,,4,,11.75,
64496-79117:Peter Lambert,64496-79117,P,Peter,Peter Lambert,Lambert,4.86,,5600,SF@COL,COL,SF,,,,Yes,,P,1,15,,5.1,,4,
64496-83194:Sam Howard,64496-83194,P,Sam,Sam Howard,Howard,9.807894197,49,5500,PIT@PHI,PIT,PHI,,,,Yes,,P,1,28.49162011,,3.4,,4.367346939,
64496-85271:Alexander Wells,64496-85271,P,Alexander,Alexander Wells,Wells,8.344946237,9,5500,TEX@BAL,BAL,TEX,,,,Yes,,P,1,14.83870968,,4.6,,9.555555556,
64496-79273:Vladimir Guerrero Jr.,64496-79273,1B/3B,Vladimir,Vladimir Guerrero Jr.,Guerrero Jr.,16.22533334,150,4500,TOR@MIN,TOR,MIN,,,,,,C/1B/3B/UTIL,1,4.34,2,4.9,,13.86666667,
64496-12948:Bryce Harper,64496-12948,OF,Bryce,Bryce Harper,Harper,16.38580123,131,4400,PIT@PHI,PHI,PIT,,,,,,OF/UTIL,1,5.8,,5.2,,13.75725154,
64496-38976:Jose Ramirez,64496-38976,3B,Jose,Jose Ramirez,Ramirez,14.68231915,141,4300,CWS@CLE,CLE,CWS,,,,,,3B/UTIL,1,4.09,,4,,13.31914894,
64496-14562:Jose Altuve,64496-14562,2B,Jose,Jose Altuve,Altuve,14.18452913,136,4300,HOU@OAK,HOU,OAK,,,,,,2B/UTIL,1,3.57,2,3.9,,12.47941141,
64496-82440:Shohei Ohtani,64496-82440,OF,Shohei,Shohei Ohtani,Ohtani,15.0094494,149,4300,SEA@LAA,LAA,SEA,,,,,,OF/UTIL,1,4.74,2,3.9,,13.07181175,
64496-52175:Matt Olson,64496-52175,1B,Matt,Matt Olson,Olson,14.66442884,147,4200,HOU@OAK,OAK,HOU,,,,,,C/1B/UTIL,1,4.11,2,4.2,,12.61428605,
64496-79282:Juan Soto,64496-79282,OF,Juan,Juan Soto,Soto,14.56599972,140,4200,WSH@CIN,WSH,CIN,,,,,,OF/UTIL,1,3.84,,3.7,,13.52999965,
64496-21705:Marcus Semien,64496-21705,2B/SS,Marcus,Marcus Semien,Semien,15.45411946,151,4100,TOR@MIN,TOR,MIN,,,,,,2B/SS/UTIL,1,4.34,2,4.9,,12.90264933,
64496-60643:Aaron Judge,64496-60643,OF,Aaron,Aaron Judge,Judge,14.29896374,139,4100,NYY@BOS,NYY,BOS,,,,,,OF/UTIL,1,3.58,2,4.7,,11.91870468,
64496-39151:Mookie Betts,64496-39151,OF,Mookie,Mookie Betts,Betts,15.95574302,113,4000,LAD@ARI,LAD,ARI,,,,,,OF/UTIL,1,4.11,3,6.1,,12.31592877,
64496-39151:Mookie Betts,64496-39151,OF,Mookie,Mookie Betts,Betts,15.95574302,113,4000,LAD@ARI,LAD,ARI,,,,,,OF/UTIL,1,4.11,3,6.1,,12.31592877,
64496-49523:Jose Abreu,64496-49523,1B,Jose,Jose Abreu,Abreu,13.19344431,144,4000,CWS@CLE,CWS,CLE,,,,,,C/1B/UTIL,1,3.28,,4.1,,11.67430539,
64496-82614:Pete Alonso,64496-82614,1B,Pete,Pete Alonso,Alonso,13.15453164,141,4000,NYM@MIL,NYM,MIL,,,,,,C/1B/UTIL,1,3.03,3,3.8,,11.23191455,
