Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
61809-82554:Shane Bieber,61809-82554,P,Shane,Shane Bieber,Bieber,46.35714286,14,12000,CLE@HOU,CLE,HOU,IL,Shoulder,,,,P
61809-52859:Jacob deGrom,61809-52859,P,Jacob,Jacob deGrom,deGrom,50.375,16,12000,NYM@CIN,NYM,CIN,IL,Forearm,,,,P
61809-16931:Yu Darvish,61809-16931,P,Yu,Yu Darvish,Darvish,36.88888889,18,11200,SD@ATL,SD,ATL,IL,Hip,,Yes,,P
61809-16959:Trevor Bauer,61809-16959,P,Trevor,Trevor Bauer,Bauer,43.82352941,17,11000,SF@LAD,LAD,SF,O,Not injury related,,,,P
61809-5427:Clayton Kershaw,61809-5427,P,Clayton,Clayton Kershaw,Kershaw,33.9,20,11000,SF@LAD,LAD,SF,IL,Forearm,,,,P
61809-52183:Tyler Glasnow,61809-52183,P,Tyler,Tyler Glasnow,Glasnow,44.35714286,14,10800,BAL@TB,TB,BAL,IL,Elbow,,,,P
61809-38000:Kevin Gausman,61809-38000,P,Kevin,Kevin Gausman,Gausman,43.72222222,18,10600,SF@LAD,SF,LAD,NA,Personal,,Yes,,P
61809-119441:Alek Manoah,61809-119441,P,Alek,Alek Manoah,Manoah,33.25,8,10300,BOS@TOR,TOR,BOS,,,,,,P
61809-82440:Shohei Ohtani,61809-82440,P,Shohei,Shohei Ohtani,Ohtani,4.8,90,10200,LAA@OAK,LAA,OAK,,,,Yes,,P
61809-5481:Max Scherzer,61809-5481,P,Max,Max Scherzer,Scherzer,40.22222222,18,10200,MIA@WSH,WSH,MIA,,,,,,P
61809-79246:Jack Flaherty,61809-79246,P,Jack,Jack Flaherty,Flaherty,36.63636364,11,10100,CHC@STL,STL,CHC,IL,Oblique,,,,P
61809-52172:Noah Syndergaard,61809-52172,P,Noah,Noah Syndergaard,Syndergaard,,,10000,NYM@CIN,NYM,CIN,IL,Elbow,,,,P
61809-5202:Justin Verlander,61809-5202,P,Justin,Justin Verlander,Verlander,43,1,10000,CLE@HOU,HOU,CLE,IL,Elbow,,,,P
61809-53607:Anthony DeSclafani,61809-53607,P,Anthony,Anthony DeSclafani,DeSclafani,29.45454545,22,9900,SF@LAD,SF,LAD,,,,,,P
61809-53067:Chris Bassitt,61809-53067,P,Chris,Chris Bassitt,Bassitt,36.35,20,9900,LAA@OAK,OAK,LAA,,,,,,P
