Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,Weight,Chalk,Xweight
62431-6498:Tom Brady,62431-6498,QB,Tom,Tom Brady,Brady,21.75299988,20,16000,DAL@TB,TB,DAL,,,1,,,MVP - 1.5X Points/AnyFLEX,,1,10
62431-31716:Dak Prescott,62431-31716,QB,Dak,Dak Prescott,Prescott,23.1899999,6,15500,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,9
62431-38791:Ezekiel Elliott,62431-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,13.1799998,15,14000,DAL@TB,DAL,TB,,,1,,,MVP - 1.5X Points/AnyFLEX,,,2
62431-32384:Mike Evans,62431-32384,WR,Mike,Mike Evans,Evans,12.575,20,13000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,4
62431-55635:Chris Godwin,62431-55635,WR,Chris,Chris Godwin,Godwin,12.26875019,16,12500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,6
62431-31001:Amari Cooper,62431-31001,WR,Amari,Amari Cooper,Cooper,11.92500019,16,12000,DAL@TB,DAL,TB,,,1,,,MVP - 1.5X Points/AnyFLEX,,1,5
62431-52922:Leonard Fournette,62431-52922,RB,Leonard,Leonard Fournette,Fournette,11.98750019,16,11000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,1,,
62431-69304:Kyle Trask,62431-69304,QB,Kyle,Kyle Trask,Trask,,,10000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-86631:CeeDee Lamb,62431-86631,WR,CeeDee,CeeDee Lamb,Lamb,11.29374981,16,10000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,1,,8
62431-63591:Ronald Jones II,62431-63591,RB,Ronald,Ronald Jones II,Jones II,10.952941,17,9500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,1,,1
62431-69956:Michael Gallup,62431-69956,WR,Michael,Michael Gallup,Gallup,8.987500191,16,9000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,1,,3
62431-11612:Antonio Brown,62431-11612,WR,Antonio,Antonio Brown,Brown,10.07500013,12,9000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,7
62431-73575:Jose Borregales,62431-73575,K,Jose,Jose Borregales,Borregales,,,8500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-6767:Ryan Succop,62431-6767,K,Ryan,Ryan Succop,Succop,9.35,20,8500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-40714:Hunter Niswander,62431-40714,K,Hunter,Hunter Niswander,Niswander,0,8,8000,DAL@TB,DAL,TB,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-22109:Greg Zuerlein,62431-22109,K,Greg,Greg Zuerlein,Zuerlein,9.5625,16,8000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-63759:Tony Pollard,62431-63759,RB,Tony,Tony Pollard,Pollard,6.675000191,16,7500,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-11460:Rob Gronkowski,62431-11460,TE,Rob,Rob Gronkowski,Gronkowski,7.690000153,20,7500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,1,,
62431-25290:Giovani Bernard,62431-25290,RB,Giovani,Giovani Bernard,Bernard,8.412500381,16,7000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,1,,
62431-61273:Scotty Miller,62431-61273,WR,Scotty,Scotty Miller,Miller,5.694444444,18,7000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-55042:Dalton Schultz,62431-55042,TE,Dalton,Dalton Schultz,Schultz,7.1875,16,6500,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-39286:O.J. Howard,62431-39286,TE,O.J.,O.J. Howard,Howard,8.024999619,4,6500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-27527:Blake Jarwin,62431-27527,TE,Blake,Blake Jarwin,Jarwin,0.850000024,2,6000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-54782:Cameron Brate,62431-54782,TE,Cameron,Cameron Brate,Brate,4.982352762,17,6000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-69581:Cedrick Wilson,62431-69581,WR,Cedrick,Cedrick Wilson,Wilson,4.311999893,10,5500,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-68712:Tyler Johnson,62431-68712,WR,Tyler,Tyler Johnson,Johnson,3,13,5500,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-69894:Sewo Olonilua,62431-69894,RB,Sewo,Sewo Olonilua,Olonilua,0,1,5000,DAL@TB,DAL,TB,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-92552:Brennan Eagles,62431-92552,WR,Brennan,Brennan Eagles,Eagles,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-83083:Justin Watson,62431-83083,WR,Justin,Justin Watson,Watson,2.579999924,5,5000,DAL@TB,TB,DAL,NA,Knee,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-69898:Artayvious Lynn,62431-69898,TE,Artayvious,Artayvious Lynn,Lynn,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-89613:Simi Fehoko,62431-89613,WR,Simi,Simi Fehoko,Fehoko,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-69518:T.J. Simmons Jr.,62431-69518,WR,T.J.,T.J. Simmons Jr.,Simmons Jr.,,,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-88213:Brenden Knox,62431-88213,RB,Brenden,Brenden Knox,Knox,,,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-29985:Jaydon Mickens,62431-29985,WR,Jaydon,Jaydon Mickens,Mickens,0.664285728,14,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-33702:Ryan Griffin,62431-33702,QB,Ryan,Ryan Griffin,Griffin,0.310000002,2,5000,DAL@TB,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-44715:Cooper Rush,62431-44715,QB,Cooper,Cooper Rush,Rush,0,1,5000,DAL@TB,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX,,,
62431-55088:Malik Turner,62431-55088,WR,Malik,Malik Turner,Turner,0,1,5000,DAL@TB,DAL,TB,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX,,,
