Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,Chalk,Weight,Xweight,STack
62415-55050:Christian McCaffrey,62415-55050,RB,Christian,Christian McCaffrey,McCaffrey,16.38000031,5,10400,NYJ@CAR,CAR,NYJ,,,,,,RB/FLEX,1,,,
62415-54140:Dalvin Cook,62415-54140,RB,Dalvin,Dalvin Cook,Cook,22.55714199,14,9400,MIN@CIN,MIN,CIN,,,,,,RB/FLEX,1,1,1,
62415-39280:Derrick Henry,62415-39280,RB,Derrick,Derrick Henry,Henry,19.42353013,17,8900,ARI@TEN,TEN,ARI,,,,,,RB/FLEX,,,,
62415-57439:Patrick Mahomes,62415-57439,QB,Patrick,Patrick Mahomes,Mahomes,24.42222256,18,8800,CLE@KC,KC,CLE,,,,,,QB,,1,,
62415-45889:Davante Adams,62415-45889,WR,Davante,Davante Adams,Adams,20.95000076,16,8600,GB@NO,GB,NO,,,,,,WR/FLEX,1,,,
62415-42104:Alvin Kamara,62415-42104,RB,Alvin,Alvin Kamara,Kamara,21.58235258,17,8600,GB@NO,NO,GB,,,,,,RB/FLEX,1,,,
62415-33076:Travis Kelce,62415-33076,TE,Travis,Travis Kelce,Kelce,18.32000054,18,8500,CLE@KC,KC,CLE,,,,,,TE/FLEX,1,,2,
62415-53681:Tyreek Hill,62415-53681,WR,Tyreek,Tyreek Hill,Hill,18.57222154,18,8500,CLE@KC,KC,CLE,,,,,,WR/FLEX,,,,
62415-64401:Saquon Barkley,62415-64401,RB,Saquon,Saquon Barkley,Barkley,4.133333206,3,8500,DEN@NYG,NYG,DEN,Q,Knee - acl + mcl,,,,RB/FLEX,,,,
62415-63484:Kyler Murray,62415-63484,QB,Kyler,Kyler Murray,Murray,24.42124939,16,8400,ARI@TEN,ARI,TEN,,,,,,QB,,,,
62415-16606:DeAndre Hopkins,62415-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,14.39375019,16,8200,ARI@TEN,ARI,TEN,Q,Undisclosed,,,,WR/FLEX,,,,
62415-62239:Josh Allen,62415-62239,QB,Josh,Josh Allen,Allen,25.14421001,19,8100,PIT@BUF,BUF,PIT,,,,,,QB,,1,,Stack
62415-64555:Calvin Ridley,62415-64555,WR,Calvin,Calvin Ridley,Ridley,15.76666667,15,8100,PHI@ATL,ATL,PHI,,,,,,WR/FLEX,,1,1,
62415-6894:Aaron Rodgers,62415-6894,QB,Aaron,Aaron Rodgers,Rodgers,24.34111192,18,8000,GB@NO,GB,NO,,,,,,QB,,1,,
62415-85671:Justin Jefferson,62415-85671,WR,Justin,Justin Jefferson,Jefferson,14.38749981,16,8000,MIN@CIN,MIN,CIN,Q,Shoulder - ac joint,,,,WR/FLEX,,,,
62415-25079:Stefon Diggs,62415-25079,WR,Stefon,Stefon Diggs,Diggs,16.74736906,19,7900,PIT@BUF,BUF,PIT,Q,Knee,,,,WR/FLEX,1,,,Stack
