Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
64289-55050:Christian McCaffrey,64289-55050,RB,Christian,Christian McCaffrey,McCaffrey,22.70000076,2,17500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-63589:Sam Darnold,64289-63589,QB,Sam,Sam Darnold,Darnold,19.47999954,2,15000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-63043:DJ Moore,64289-63043,WR,DJ,DJ Moore,Moore,15.14999962,2,14000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-29501:Brandin Cooks,64289-29501,WR,Brandin,Brandin Cooks,Cooks,17,2,13000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-89628:Davis Mills,64289-89628,QB,Davis,Davis Mills,Mills,6.980000019,1,12000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-14211:Mark Ingram II,64289-14211,RB,Mark,Mark Ingram II,Ingram II,9.5,2,11000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-26251:Robby Anderson,64289-26251,WR,Robby,Robby Anderson,Anderson,8.75,2,10000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-14377:Tyrod Taylor,64289-14377,QB,Tyrod,Tyrod Taylor,Taylor,20.06999969,2,10000,CAR@HOU,HOU,CAR,D,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
64289-39369:Zane Gonzalez,64289-39369,K,Zane,Zane Gonzalez,Gonzalez,9,1,9500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-56378:Joey Slye,64289-56378,K,Joey,Joey Slye,Slye,8.5,2,9000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-29932:Ka'imi Fairbairn,64289-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,8.25,16,9000,CAR@HOU,HOU,CAR,IR,Leg,,,,MVP - 1.5X Points/AnyFLEX
64289-85672:Terrace Marshall Jr.,64289-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,3.650000095,2,8500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-62497:David Johnson,64289-62497,RB,David,David Johnson,Johnson,8,2,8000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-8117:Danny Amendola,64289-8117,WR,Danny,Danny Amendola,Amendola,6.650000095,2,8000,CAR@HOU,HOU,CAR,Q,Thigh,,,,MVP - 1.5X Points/AnyFLEX
64289-80546:Dan Arnold,64289-80546,TE,Dan,Dan Arnold,Arnold,4.300000191,2,7500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-41426:Phillip Lindsay,64289-41426,RB,Phillip,Phillip Lindsay,Lindsay,8.699999809,2,7500,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-82731:Brandon Zylstra,64289-82731,WR,Brandon,Brandon Zylstra,Zylstra,11.89999962,1,7000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-30403:Chris Conley,64289-30403,WR,Chris,Chris Conley,Conley,2.75,2,7000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-87467:Chuba Hubbard,64289-87467,RB,Chuba,Chuba Hubbard,Hubbard,1.200000048,2,6500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-57338:Jordan Akins,64289-57338,TE,Jordan,Jordan Akins,Akins,1.100000024,2,6500,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-91419:Nico Collins,64289-91419,WR,Nico,Nico Collins,Collins,2.450000048,2,6000,CAR@HOU,HOU,CAR,D,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
64289-55970:Royce Freeman,64289-55970,RB,Royce,Royce Freeman,Freeman,2.827272762,11,6000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-72515:Ian Thomas,64289-72515,TE,Ian,Ian Thomas,Thomas,1.700000048,2,5500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-41936:Anthony Miller,64289-41936,WR,Anthony,Anthony Miller,Miller,5.152941087,17,5500,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-91101:Tommy Tremble,64289-91101,TE,Tommy,Tommy Tremble,Tremble,0,1,5500,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-29411:Pharaoh Brown,64289-29411,TE,Pharaoh,Pharaoh Brown,Brown,4.349999905,2,5500,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-11504:Andre Roberts,64289-11504,WR,Andre,Andre Roberts,Roberts,1,2,5500,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-28545:Rod Smith,64289-28545,RB,Rod,Rod Smith,Smith,0,1,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-80011:Antony Auclair,64289-80011,TE,Antony,Antony Auclair,Auclair,0,1,5000,CAR@HOU,HOU,CAR,Q,Eye,,,,MVP - 1.5X Points/AnyFLEX
64289-88590:Scottie Phillips,64289-88590,RB,Scottie,Scottie Phillips,Phillips,2.099999905,1,5000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-94094:Brevin Jordan,64289-94094,TE,Brevin,Brevin Jordan,Jordan,,,5000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-130318:Mikey Daniel,64289-130318,RB,Mikey,Mikey Daniel,Daniel,0,1,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-130320:Aaron Parker,64289-130320,WR,Aaron,Aaron Parker,Parker,0,1,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-69655:Stephen Sullivan,64289-69655,WR,Stephen,Stephen Sullivan,Sullivan,0,1,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-33047:Chris Moore,64289-33047,WR,Chris,Chris Moore,Moore,0,1,5000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-91677:Shi Smith,64289-91677,WR,Shi,Shi Smith,Smith,,,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-69150:Jordan Veasy,64289-69150,WR,Jordan,Jordan Veasy,Veasy,0,1,5000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-47780:Taywan Taylor,64289-47780,WR,Taywan,Taywan Taylor,Taylor,0,2,5000,CAR@HOU,HOU,CAR,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64289-62891:Omar Bayless,64289-62891,WR,Omar,Omar Bayless,Bayless,0,2,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-30253:Jeff Driskel,64289-30253,QB,Jeff,Jeff Driskel,Driskel,8.020000458,4,5000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-45997:Keith Kirkwood,64289-45997,WR,Keith,Keith Kirkwood,Kirkwood,0.899999976,2,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-60981:Charlie Heck,64289-60981,TE,Charlie,Charlie Heck,Heck,0.800000012,1,5000,CAR@HOU,HOU,CAR,,,,,,MVP - 1.5X Points/AnyFLEX
64289-55224:Reggie Bonnafon,64289-55224,RB,Reggie,Reggie Bonnafon,Bonnafon,3.924999952,4,5000,CAR@HOU,CAR,HOU,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64289-65477:Giovanni Ricci,64289-65477,TE,Giovanni,Giovanni Ricci,Ricci,0,2,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
64289-52808:Dontrell Hilliard,64289-52808,RB,Dontrell,Dontrell Hilliard,Hilliard,1.1,5,5000,CAR@HOU,HOU,CAR,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
64289-65737:Sam Tecklenburg,64289-65737,TE,Sam,Sam Tecklenburg,Tecklenburg,0,2,5000,CAR@HOU,CAR,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
