,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Name,Rotowire Name,Full Name,Starter
0,61800-52859:Jacob deGrom,61800-52859,P,Jacob,Jacob deGrom,deGrom,50.375,16.0,12000,NYM@PIT,NYM,PIT,DTD,Forearm,,,,P,,,,
1,61800-16931:Yu Darvish,61800-16931,P,Yu,Yu Darvish,Darvish,36.8888888888889,18.0,11400,SD@WSH,SD,WSH,IL,Hip,,,,P,,,,
2,61800-82604:Corbin Burnes,61800-82604,P,Corbin,Corbin Burnes,Burnes,42.5333333333333,15.0,11200,MIL@CIN,MIL,CIN,,,,Yes,,P,C. Burnes,C. Burnes,Corbin Burnes,1.0
3,61800-16960:Zack Wheeler,61800-16960,P,Zack,Zack Wheeler,Wheeler,41.6842105263158,19.0,11000,MIA@PHI,PHI,MIA,,,,Yes,,P,,,,
4,61800-52183:Tyler Glasnow,61800-52183,P,Tyler,Tyler Glasnow,Glasnow,44.3571428571429,14.0,10800,TB@ATL,TB,ATL,IL,Elbow,,,,P,,,,
5,61800-38000:Kevin Gausman,61800-38000,P,Kevin,Kevin Gausman,Gausman,43.7222222222222,18.0,10600,SF@STL,SF,STL,,Personal,,,,P,,,,
6,61800-60633:Carlos Rodon,61800-60633,P,Carlos,Carlos Rodon,Rodon,41.5,16.0,10600,HOU@CWS,CWS,HOU,,,,Yes,,P,,,,
7,61800-80582:Brandon Woodruff,61800-80582,P,Brandon,Brandon Woodruff,Woodruff,41.1578947368421,19.0,10200,MIL@CIN,MIL,CIN,,,,,,P,,,,
8,61800-5481:Max Scherzer,61800-5481,P,Max,Max Scherzer,Scherzer,40.6470588235294,17.0,10200,SD@WSH,WSH,SD,,,,Yes,,P,,,,
9,61800-79246:Jack Flaherty,61800-79246,P,Jack,Jack Flaherty,Flaherty,36.6363636363636,11.0,10100,SF@STL,STL,SF,IL,Oblique,,,,P,,,,
10,61800-52172:Noah Syndergaard,61800-52172,P,Noah,Noah Syndergaard,Syndergaard,,,10000,NYM@PIT,NYM,PIT,IL,Elbow,,,,P,,,,
11,61800-5202:Justin Verlander,61800-5202,P,Justin,Justin Verlander,Verlander,43.0,1.0,10000,HOU@CWS,HOU,CWS,IL,Elbow,,,,P,,,,
12,61800-53607:Anthony DeSclafani,61800-53607,P,Anthony,Anthony DeSclafani,DeSclafani,29.4545454545455,22.0,9900,SF@STL,SF,STL,,,,,,P,,,,
13,61800-60639:Jose Berrios,61800-60639,P,Jose,Jose Berrios,Berrios,34.0,18.0,9900,MIN@DET,MIN,DET,,,,,,P,,,,
14,61800-83190:Freddy Peralta,61800-83190,P,Freddy,Freddy Peralta,Peralta,37.0,19.0,9900,MIL@CIN,MIL,CIN,,,,,,P,,,,
15,61800-60647:Aaron Nola,61800-60647,P,Aaron,Aaron Nola,Nola,32.9444444444444,18.0,9800,MIA@PHI,PHI,MIA,IL,Undisclosed,,,,P,,,,
16,61800-135212:Luis Garcia,61800-135212,P,Luis,Luis Garcia,Garcia,30.3529411764706,17.0,9700,HOU@CWS,HOU,CWS,,,,,,P,,,,
17,61800-52159:Lance McCullers Jr.,61800-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,36.6666666666667,15.0,9700,HOU@CWS,HOU,CWS,,,,,,P,,,,
18,61800-110822:Jose Urquidy,61800-110822,P,Jose,Jose Urquidy,Urquidy,29.0714285714286,14.0,9500,HOU@CWS,HOU,CWS,IL,Shoulder,,,,P,,,,
19,61800-21097:Taijuan Walker,61800-21097,P,Taijuan,Taijuan Walker,Walker,31.0588235294118,17.0,9500,NYM@PIT,NYM,PIT,,,,Yes,,P,,,,
20,61800-82607:Trevor Rogers,61800-82607,P,Trevor,Trevor Rogers,Rogers,35.2631578947368,19.0,9500,MIA@PHI,MIA,PHI,,,,,,P,,,,
21,61800-10978:Stephen Strasburg,61800-10978,P,Stephen,Stephen Strasburg,Strasburg,21.0,5.0,9500,SD@WSH,WSH,SD,IL,Neck,,,,P,,,,
22,61800-11354:Lance Lynn,61800-11354,P,Lance,Lance Lynn,Lynn,38.5625,16.0,9300,HOU@CWS,CWS,HOU,,,,,,P,,,,
23,61800-83152:Pablo Lopez,61800-83152,P,Pablo,Pablo Lopez,Lopez,30.2,20.0,9300,MIA@PHI,MIA,PHI,IL,Shoulder,,,,P,,,,
24,61800-12972:Wade Miley,61800-12972,P,Wade,Wade Miley,Miley,28.0555555555556,18.0,9200,MIL@CIN,CIN,MIL,,,,,,P,,,,
25,61800-39041:Marcus Stroman,61800-39041,P,Marcus,Marcus Stroman,Stroman,28.8421052631579,19.0,9100,NYM@PIT,NYM,PIT,,,,,,P,,,,
26,61800-102335:Cristian Javier,61800-102335,P,Cristian,Cristian Javier,Javier,23.2105263157895,19.0,9100,HOU@CWS,HOU,CWS,,,,,,P,,,,
27,61800-6266:Carlos Carrasco,61800-6266,P,Carlos,Carlos Carrasco,Carrasco,36.5,12.0,9000,NYM@PIT,NYM,PIT,IL,Hamstring,,,,P,,,,
28,61800-79245:Sandy Alcantara,61800-79245,P,Sandy,Sandy Alcantara,Alcantara,31.35,20.0,9000,MIA@PHI,MIA,PHI,,,,,,P,,,,
29,61800-79109:Tyler Mahle,61800-79109,P,Tyler,Tyler Mahle,Mahle,32.1052631578947,19.0,8800,MIL@CIN,CIN,MIL,,,,,,P,,,,
30,61800-5431:Adam Wainwright,61800-5431,P,Adam,Adam Wainwright,Wainwright,31.4210526315789,19.0,8800,SF@STL,STL,SF,,,,,,P,,,,
31,61800-85599:Framber Valdez,61800-85599,P,Framber,Framber Valdez,Valdez,35.4444444444444,9.0,8800,HOU@CWS,HOU,CWS,,,,Yes,,P,,,,
32,61800-68482:Zach Eflin,61800-68482,P,Zach,Zach Eflin,Eflin,29.7222222222222,18.0,8700,MIA@PHI,PHI,MIA,,,,,,P,,,,
33,61800-152734:Zach Thompson,61800-152734,P,Zach,Zach Thompson,Thompson,30.8333333333333,6.0,8700,MIA@PHI,MIA,PHI,,,,,,P,,,,
34,61800-5466:Charlie Morton,61800-5466,P,Charlie,Charlie Morton,Morton,31.8,20.0,8700,TB@ATL,ATL,TB,,,,,,P,,,,
35,61800-17064:Sonny Gray,61800-17064,P,Sonny,Sonny Gray,Gray,32.3333333333333,12.0,8600,MIL@CIN,CIN,MIL,IL,Ribs,,Yes,,P,Sonny Gray,Sonny Gray,Sonny Gray,1.0
36,61800-52198:Lucas Giolito,61800-52198,P,Lucas,Lucas Giolito,Giolito,33.75,20.0,8600,HOU@CWS,CWS,HOU,,,,,,P,,,,
37,61800-5522:Zack Greinke,61800-5522,P,Zack,Zack Greinke,Greinke,29.0,19.0,8600,HOU@CWS,HOU,CWS,DTD,Shoulder,,,,P,,,,
38,61800-70559:Mike Clevinger,61800-70559,P,Mike,Mike Clevinger,Clevinger,29.625,8.0,8500,SD@WSH,SD,WSH,IL,Elbow,,,,P,,,,
39,61800-97300:John Means,61800-97300,P,John,John Means,Means,34.8333333333333,12.0,8500,BAL@KC,BAL,KC,IL,Shoulder,,,,P,,,,
40,61800-79091:Dylan Cease,61800-79091,P,Dylan,Dylan Cease,Cease,30.05,20.0,8500,HOU@CWS,CWS,HOU,,,,,,P,,,,
41,61800-5498:Johnny Cueto,61800-5498,P,Johnny,Johnny Cueto,Cueto,26.6428571428571,14.0,8500,SF@STL,SF,STL,,,,Yes,,P,Johnny Cueto,Johnny Cueto,Johnny Cueto,1.0
42,61800-52185:Max Fried,61800-52185,P,Max,Max Fried,Fried,25.4117647058824,17.0,8400,TB@ATL,ATL,TB,,,,,,P,,,,
43,61800-101804:Huascar Ynoa,61800-101804,P,Huascar,Huascar Ynoa,Ynoa,31.0,9.0,8400,TB@ATL,ATL,TB,IL,Hand,,,,P,,,,
44,61800-38028:Alex Wood,61800-38028,P,Alex,Alex Wood,Wood,32.3333333333333,15.0,8300,SF@STL,SF,STL,,,,,,P,,,,
