,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_Sack,NY/A,ANY/A,Sk%,4QC,GWD
0,Daniel Jones,NYG,24,qb,2,2,0-2-0,44,69,63.8,516,2,2.9,0,0.0,23,42,7.5,8.1,11.7,258.0,96.0,63.3,6,34,6.43,6.96,8.0,,
1,Taylor Heinicke,WAS,28,qb,2,1,1-0-0,45,61,73.8,458,3,4.9,1,1.6,19,56,7.5,7.8,10.2,229.0,104.4,45.7,1,16,7.13,7.37,1.6,,
2,Derek Carr,LVR,30,qb,1,1,1-0-0,34,56,60.7,435,2,3.6,1,1.8,17,37,7.8,7.7,12.8,435.0,89.5,50.3,3,26,6.93,6.85,5.1,1,1
3,Dak Prescott,DAL,28,qb,1,1,0-1-0,42,58,72.4,403,3,5.2,1,1.7,21,31,6.9,7.2,9.6,403.0,101.4,66.7,1,12,6.63,6.88,1.7,,
4,Tom Brady,TAM,44,qb,1,1,1-0-0,32,50,64.0,379,4,8.0,2,4.0,22,47,7.6,7.4,11.8,379.0,97.0,62.2,0,0,7.58,7.38,0.0,1,1
5,Kirk Cousins,MIN,33,qb,1,1,0-1-0,36,49,73.5,351,2,4.1,0,0.0,15,34,7.2,8.0,9.8,351.0,106.8,47.6,3,26,6.25,7.02,5.8,,
6,Jared Goff,DET,27,qb,1,1,0-1-0,38,57,66.7,338,3,5.3,1,1.8,19,43,5.9,6.2,8.9,338.0,92.6,33.4,3,24,5.23,5.48,5.0,,
7,Justin Herbert,LAC,23,qb,1,1,1-0-0,31,47,66.0,337,1,2.1,1,2.1,20,23,7.2,6.6,10.9,337.0,85.2,53.0,2,3,6.82,6.31,4.1,1,1
8,Patrick Mahomes,KAN,26,qb,1,1,1-0-0,27,36,75.0,337,3,8.3,0,0.0,17,75,9.4,11.0,12.5,337.0,131.4,82.7,2,13,8.53,10.11,5.3,1,1
9,Trevor Lawrence,JAX,22,qb,1,1,0-1-0,28,51,54.9,332,3,5.9,3,5.9,13,41,6.5,5.0,11.9,332.0,70.1,20.5,1,13,6.13,4.69,1.9,,
10,Baker Mayfield,CLE,26,qb,1,1,0-1-0,21,28,75.0,321,0,0.0,1,3.6,14,44,11.5,9.9,15.3,321.0,97.5,65.7,2,17,10.13,8.63,6.7,,
11,Matthew Stafford,LAR,33,qb,1,1,1-0-0,20,26,76.9,321,3,11.5,0,0.0,13,67,12.3,14.7,16.1,321.0,156.1,88.1,1,9,11.56,13.78,3.7,,
12,Jimmy Garoppolo,SFO,30,qb,1,1,1-0-0,17,25,68.0,314,1,4.0,0,0.0,12,79,12.6,13.4,18.5,314.0,124.2,76.6,1,8,11.77,12.54,3.8,,
13,Tyrod Taylor,HOU,32,qb,1,1,1-0-0,21,33,63.6,291,2,6.1,0,0.0,13,52,8.8,10.0,13.9,291.0,112.1,76.9,1,2,8.50,9.68,2.9,,
14,Kyler Murray,ARI,24,qb,1,1,1-0-0,21,32,65.6,289,4,12.5,1,3.1,13,38,9.0,10.1,13.8,289.0,121.0,77.9,2,9,8.24,9.26,5.9,,
15,Mac Jones,NWE,23,qb,1,1,0-1-0,29,39,74.4,281,1,2.6,0,0.0,14,26,7.2,7.7,9.7,281.0,102.6,70.6,1,13,6.70,7.20,2.5,,
16,Sam Darnold,CAR,24,qb,1,1,,24,35,68.6,279,1,2.9,0,0.0,14,57,8.0,8.5,11.6,279.0,102.0,48.9,1,9,7.50,8.06,2.8,,
17,Josh Allen,BUF,25,qb,1,1,0-1-0,30,51,58.8,270,1,2.0,0,0.0,13,37,5.3,5.7,9.0,270.0,79.7,44.7,3,16,4.70,5.07,5.6,,
18,Teddy Bridgewater,DEN,29,qb,1,1,1-0-0,28,36,77.8,264,2,5.6,0,0.0,17,25,7.3,8.4,9.4,264.0,115.7,93.5,2,9,6.71,7.76,5.3,,
19,Jalen Hurts,PHI,23,qb,1,1,1-0-0,27,35,77.1,264,3,8.6,0,0.0,13,28,7.5,9.3,9.8,264.0,126.4,70.2,1,3,7.25,8.92,2.8,,
20,Joe Burrow,CIN,25,qb,1,1,1-0-0,20,27,74.1,261,2,7.4,0,0.0,12,50,9.7,11.1,13.1,261.0,128.8,59.0,5,44,6.78,8.03,15.6,0,1
21,Zach Wilson,NYJ,22,qb,1,1,,20,37,54.1,258,2,5.4,1,2.7,10,40,7.0,6.8,12.9,258.0,82.9,35.6,6,51,4.81,4.70,14.0,,
22,Russell Wilson,SEA,33,qb,1,1,1-0-0,18,23,78.3,254,4,17.4,0,0.0,12,69,11.0,14.5,14.1,254.0,152.3,81.6,3,13,9.27,12.35,11.5,,
23,Carson Wentz,IND,29,qb,1,1,0-1-0,25,38,65.8,251,2,5.3,0,0.0,14,24,6.6,7.7,10.0,251.0,102.0,34.7,3,28,5.44,6.41,7.3,,
24,Lamar Jackson,BAL,24,qb,1,1,0-1-0,19,30,63.3,235,1,3.3,0,0.0,11,49,7.8,8.5,12.4,235.0,98.6,56.5,3,18,6.58,7.18,9.1,,
