,Name,Rotowire Name,Full Name,Starter,Team
0,Tommy Edman,Tommy Edman,Tommy Edman,1,
1,P. Goldschmidt,P. Goldschmidt,Paul Goldschmidt,1,
2,T. O'Neill,T. O'Neill,Tyler O'Neill,1,
3,N. Arenado,N. Arenado,Nolan Arenado,1,
4,Y. Molina,Y. Molina,Yadier Molina,1,
5,D. Carlson,D. Carlson,Dylan Carlson,1,
6,Edmundo Sosa,Edmundo Sosa,Edmundo Sosa,1,STL
7,H. Bader,H. Bader,Harrison Bader,1,
8,J.A. Happ,J.A. Happ,J.A. Happ,1,STL
9,W. Contreras,W. Contreras,Willson Contreras,1,
10,F. Schwindel,F. Schwindel,Frank Schwindel,1,CHC
11,Ian Happ,Ian Happ,Ian Happ,1,
12,P. Wisdom,P. Wisdom,Patrick Wisdom,1,
13,Matt Duffy,Matt Duffy,Matt Duffy,1,CHC
14,Nico Hoerner,Nico Hoerner,Nico Hoerner,1,
15,T. Thompson,T. Thompson,Trayce Thompson,1,CHC
16,R. Ortega,R. Ortega,Rafael Ortega,1,CHC
17,J. Steele,J. Steele,Justin Steele,1,CHC
18,L. Taveras,L. Taveras,Leody Taveras,1,TEX
19,I. Kiner-Falefa,I. Kiner-Falefa,Isiah Kiner-Falefa,1,TEX
20,A. Garcia,A. Garcia,Avisail Garcia,1,
21,DJ Peters,DJ Peters,DJ Peters,1,TEX
22,N. Lowe,N. Lowe,Nathaniel Lowe,1,TEX
23,Nick Solak,Nick Solak,Nick Solak,1,TEX
24,C. Culberson,C. Culberson,Charlie Culberson,1,
25,Andy Ibanez,Andy Ibanez,Andy Ibanez,1,TEX
26,Jose Trevino,Jose Trevino,Jose Trevino,1,TEX
27,C. Mullins,C. Mullins,Cedric Mullins,1,
28,R. Mountcastle,R. Mountcastle,Ryan Mountcastle,1,
29,Trey Mancini,Trey Mancini,Trey Mancini,1,
30,A. Santander,A. Santander,Anthony Santander,1,
31,Austin Hays,Austin Hays,Austin Hays,1,
32,Pat Valaika,Pat Valaika,Pat Valaika,1,
33,P. Severino,P. Severino,Pedro Severino,1,
34,Jahmai Jones,Jahmai Jones,Jahmai Jones,1,BAL
35,K. Gutierrez,K. Gutierrez,Kelvin Gutierrez,1,
36,K. Hayes,K. Hayes,Ke'Bryan Hayes,1,
37,Y. Tsutsugo,Y. Tsutsugo,Yoshi Tsutsugo,1,PIT
38,B. Reynolds,B. Reynolds,Bryan Reynolds,1,
39,Colin Moran,Colin Moran,Colin Moran,1,PIT
40,Ben Gamel,Ben Gamel,Ben Gamel,1,
41,Kevin Newman,Kevin Newman,Kevin Newman,1,
42,M. Perez,M. Perez,Michael Perez,1,PIT
43,Hoy Park,Hoy Park,Hoy Park,1,PIT
44,Sam Howard,Sam Howard,Sam Howard,1,PIT
45,O. Herrera,O. Herrera,Odubel Herrera,1,PHI
46,Jean Segura,Jean Segura,Jean Segura,1,
47,Bryce Harper,Bryce Harper,Bryce Harper,1,
