,Name,id,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
0,Gerrit Cole,,28,28,128,139,61,21,1,21,231,38,0,137,2,.218,629,.262,.355,.617,0,9,1.000,13,2779,3.03,169.1,15,8,0,0,0,0,57,1.03,675,508,28,2,1,1850,.670,2,1,5,1,223,0.92,.652,16.41,0,6.08,12.28,2.02,7.28,3.24,1.12,0,0,0,0,6
1,Shane Bieber,,14,14,73,63,35,17,1,11,130,33,0,80,4,.232,345,.305,.383,.688,4,3,.429,6,1475,3.28,90.2,7,4,0,0,0,0,33,1.25,383,272,14,0,0,963,.650,4,0,5,1,132,1.16,.636,16.27,0,3.94,12.90,3.28,7.94,3.47,1.09,0,0,0,0,1
2,Nathan Eovaldi,,30,30,157,169,74,49,4,14,188,32,2,171,7,.251,682,.290,.396,.686,0,10,1.000,11,2778,3.58,173.2,10,8,0,0,0,0,69,1.17,724,521,30,0,0,1920,.690,7,0,6,0,270,0.93,.556,16.00,0,5.88,9.74,1.66,8.86,3.83,0.73,0,0,0,1,2
3,Jose Berrios,,30,30,174,165,77,37,2,21,187,43,0,150,15,.224,670,.284,.379,.663,5,2,.286,11,2855,3.45,180.0,12,8,0,0,0,0,69,1.07,734,540,30,1,0,1886,.660,15,0,3,3,254,1.05,.600,15.86,0,4.35,9.35,2.15,7.50,3.85,1.05,0,0,0,2,4
4,Frankie Montas,,30,30,156,160,75,32,3,19,192,53,1,158,5,.239,662,.299,.382,.681,5,6,.545,11,2830,3.57,174.0,12,9,0,0,0,0,69,1.21,725,522,30,0,0,1873,.660,5,0,11,0,253,0.98,.571,16.26,0,3.62,9.93,2.74,8.17,3.88,0.98,0,0,1,1,3
5,Dylan Cease,,30,30,99,154,76,20,2,20,212,66,0,131,9,.223,588,.307,.366,.673,2,18,.900,6,2806,4.09,156.1,12,7,0,0,0,0,71,1.26,671,469,30,1,1,1747,.620,9,2,12,0,215,0.64,.632,17.95,0,3.21,12.20,3.80,7.54,4.38,1.15,0,0,0,1,7
6,Sonny Gray,,24,24,128,102,58,14,5,16,146,44,1,105,7,.220,477,.294,.371,.665,0,9,1.000,6,2054,3.84,126.2,7,8,0,0,0,0,54,1.18,533,380,24,0,0,1290,.630,7,0,8,0,177,1.25,.467,16.22,0,3.32,10.37,3.13,7.46,4.12,1.14,0,0,1,2,2
7,Kyle Gibson,,29,28,207,144,69,30,1,15,141,60,2,151,6,.237,636,.307,.358,.665,3,2,.400,16,2722,3.51,171.2,10,8,0,0,0,0,67,1.23,709,515,29,0,0,1673,.610,6,1,2,1,228,1.44,.556,15.86,0,2.35,7.39,3.15,7.92,3.62,0.79,0,0,0,2,5
8,Carlos Hernandez,,23,10,65,92,36,9,2,7,73,38,1,67,3,.228,294,.320,.344,.663,1,1,.500,8,1345,3.90,80.2,6,2,0,1,0,1,35,1.30,338,242,23,0,0,821,.610,3,1,6,0,101,0.71,.750,16.67,1,1.92,8.14,4.24,7.48,4.02,0.78,7,3,0,0,3
9,Logan Gilbert,,22,22,70,134,58,28,2,15,120,23,1,104,6,.246,423,.292,.428,.720,0,9,1.000,3,1923,4.74,108.1,6,5,0,0,0,0,57,1.17,457,325,22,0,0,1241,.650,6,0,8,0,181,0.52,.545,17.75,0,5.22,9.97,1.91,8.64,4.82,1.25,0,0,0,2,3
10,Eric Lauer,,22,18,84,128,40,12,0,14,105,37,1,85,2,.216,394,.285,.353,.638,1,3,.750,2,1755,3.03,107.0,6,5,0,0,2,0,36,1.14,441,321,22,0,0,1125,.640,2,0,2,4,139,0.66,.545,16.40,0,2.84,8.83,3.11,7.15,3.36,1.18,0,0,0,6,2
