,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,Sterling Shepard,NYG,28,wr,2,2,19,16,84.2%,207,12.9,1,10,37,10.9,8.0,103.5,0
1,Terry McLaurin,WAS,26,wr,2,2,18,15,83.3%,169,11.3,1,9,34,9.4,7.5,84.5,0
2,Amari Cooper,DAL,27,wr,1,1,17,13,76.5%,139,10.7,2,8,28,8.2,13.0,139.0,0
3,Tyreek Hill,KAN,27,wr,1,1,15,11,73.3%,197,17.9,1,8,75,13.1,11.0,197.0,0
4,Darren Waller,LVR,29,te,1,1,19,10,52.6%,105,10.5,1,4,24,5.5,10.0,105.0,0
5,Keenan Allen,LAC,29,wr,1,1,13,9,69.2%,100,11.1,0,7,17,7.7,9.0,100.0,1
6,Stefon Diggs,BUF,28,wr,1,1,13,9,69.2%,69,7.7,0,4,13,5.3,9.0,69.0,0
7,Chris Godwin,TAM,25,wr,1,1,13,9,69.2%,105,11.7,1,7,24,8.1,9.0,105.0,1
8,Adam Humphries,WAS,28,wr,2,2,10,9,90.0%,54,6.0,0,2,12,5.4,4.5,27.0,0
9,Christian McCaffrey,CAR,25,rb,1,1,9,9,100.0%,89,9.9,0,6,22,9.9,9.0,89.0,0
10,Deebo Samuel,SFO,25,wr,1,1,12,9,75.0%,189,21.0,1,6,79,15.8,9.0,189.0,1
11,Adam Thielen,MIN,31,wr,1,1,10,9,90.0%,92,10.2,2,5,24,9.2,9.0,92.0,0
12,Cole Beasley,BUF,32,wr,1,1,13,8,61.5%,60,7.5,0,1,12,4.6,8.0,60.0,0
13,Rob Gronkowski,TAM,32,te,1,1,8,8,100.0%,90,11.3,2,5,20,11.3,8.0,90.0,0
14,T.J. Hockenson,DET,24,te,1,1,11,8,72.7%,97,12.1,1,7,23,8.8,8.0,97.0,0
15,D'Andre Swift,DET,22,,1,0,11,8,72.7%,65,8.1,1,2,43,5.9,8.0,65.0,0
16,Logan Thomas,WAS,30,te,2,2,10,8,80.0%,75,9.4,1,3,24,7.5,4.0,37.5,0
17,Jamaal Williams,DET,26,rb,1,1,9,8,88.9%,56,7.0,0,4,11,6.2,8.0,56.0,0
18,Mike Williams,LAC,27,wr,1,1,12,8,66.7%,82,10.3,1,6,20,6.8,8.0,82.0,0
19,Kenny Golladay,NYG,28,wr,2,2,14,7,50.0%,102,14.6,0,5,17,7.3,3.5,51.0,0
20,Cooper Kupp,LAR,28,wr,1,1,10,7,70.0%,108,15.4,1,3,56,10.8,7.0,108.0,0
21,CeeDee Lamb,DAL,22,wr,1,1,15,7,46.7%,104,14.9,1,5,31,6.9,7.0,104.0,0
22,K.J. Osborn,MIN,24,wr,1,1,9,7,77.8%,76,10.9,0,3,25,8.4,7.0,76.0,0
23,Laviska Shenault Jr.,JAX,23,,1,0,10,7,70.0%,50,7.1,0,3,14,5.0,7.0,50.0,0
24,Marquise Brown,BAL,24,wr,1,1,6,6,100.0%,69,11.5,1,4,29,11.5,6.0,69.0,0
25,Dalvin Cook,MIN,26,rb,1,1,7,6,85.7%,43,7.2,0,2,9,6.1,6.0,43.0,1
26,Noah Fant,DEN,24,te,1,1,8,6,75.0%,62,10.3,0,3,25,7.8,6.0,62.0,0
27,Nyheim Hines,IND,25,,1,0,8,6,75.0%,48,8.0,0,2,19,6.0,6.0,48.0,0
