,Name,id,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
0,Manny Machado,,112,96,126,73,23,2,21,80,49,5,114,1,.279,408,.352,.500,.852,2,9,.818,8,1674,466,204,78,151,0,8,.295,0.76,0,19.43
1,Shohei Ohtani,,113,72,79,78,25,5,39,140,55,8,108,3,.271,398,.363,.653,1.017,7,17,.708,6,1863,457,260,86,154,0,1,.314,0.91,0,10.20
2,Fernando Tatis Jr.,,88,65,61,81,21,0,33,102,43,5,96,0,.300,320,.379,.675,1.054,3,23,.885,4,1421,367,216,74,105,0,4,.333,1.07,0,9.70
3,Ozzie Albies,,116,91,159,75,31,6,22,92,40,1,119,3,.260,458,.321,.498,.819,2,15,.882,3,1913,504,228,80,180,0,3,.280,0.57,0,20.82
4,Nick Castellanos,,96,75,86,66,30,1,20,95,30,4,117,6,.315,371,.374,.563,.937,1,2,.667,7,1490,409,209,63,164,0,2,.376,0.87,0,18.55
5,Starling Marte,,78,85,53,64,15,1,9,67,35,2,97,9,.323,300,.409,.470,.879,3,33,.917,3,1337,346,141,36,95,1,1,.391,1.60,0,33.33
6,Aaron Judge,,103,87,78,61,16,0,26,114,53,2,110,3,.285,386,.373,.528,.902,0,3,1.000,11,1841,445,204,63,162,0,3,.337,1.12,0,14.85
7,Eloy Jimenez,,15,18,7,8,4,0,6,14,2,0,19,0,.333,57,.350,.719,1.069,0,0,.---,2,197,60,41,19,20,0,1,.342,2.57,0,9.50
8,Joey Votto,,89,71,74,48,15,1,26,90,46,2,90,3,.279,323,.372,.573,.944,0,1,1.000,5,1531,374,185,75,140,0,2,.306,0.96,0,12.42
9,Matt Olson,,112,108,115,76,28,0,30,75,59,6,115,7,.283,406,.378,.574,.952,1,3,.750,13,1961,479,233,79,181,0,7,.276,0.94,0,13.53
10,Jake Cronenworth,,116,124,125,77,26,6,17,71,41,3,120,8,.275,436,.348,.479,.827,2,4,.667,7,1876,493,209,58,194,3,1,.295,0.99,4,25.65
11,C.J. Cron,,99,76,81,49,16,1,19,79,46,1,82,10,.259,316,.369,.497,.866,0,1,1.000,7,1519,374,157,63,131,0,2,.286,0.94,0,16.63
12,Jose Ramirez,,107,91,141,75,23,4,26,62,46,7,99,7,.254,390,.341,.533,.874,3,14,.824,11,1852,446,208,72,162,0,3,.239,0.65,0,15.00
13,Jose Abreu,,111,116,87,62,20,2,24,110,42,1,106,14,.257,412,.341,.490,.831,0,1,1.000,20,1876,475,202,86,187,0,7,.288,1.33,0,17.17
14,Trevor Story,,103,83,105,59,28,2,15,99,36,2,98,9,.258,380,.333,.461,.793,5,17,.773,6,1706,430,175,54,144,0,5,.306,0.79,0,25.33
15,Trent Grisham,,91,75,80,42,18,3,12,84,43,1,83,5,.259,321,.354,.445,.800,3,9,.750,7,1531,370,143,47,122,0,1,.314,0.94,0,26.75
16,Trea Turner,,105,103,107,76,20,3,18,81,29,0,134,5,.318,422,.366,.507,.873,3,23,.885,14,1805,459,214,52,135,0,3,.356,0.96,0,23.44
17,Eric Hosmer,,110,129,81,42,17,0,10,67,33,1,107,4,.280,382,.343,.403,.746,3,5,.625,11,1618,421,154,53,163,1,1,.317,1.59,0,38.20
18,Yordan Alvarez,,101,84,82,68,23,1,22,106,33,2,109,7,.288,378,.354,.529,.883,0,1,1.000,13,1734,421,200,76,193,0,3,.344,1.02,0,17.18
19,Randy Arozarena,,104,86,83,68,23,2,16,123,40,2,109,8,.273,399,.350,.461,.811,7,11,.611,9,1824,449,184,54,150,0,2,.355,1.04,0,24.94
20,Kris Bryant,,107,86,95,66,24,2,19,96,44,2,102,8,.270,378,.357,.495,.852,2,6,.750,6,1674,431,187,55,134,0,1,.314,0.91,0,19.90
21,Freddie Freeman,,117,114,114,85,14,0,25,83,68,13,126,4,.290,435,.389,.494,.883,3,7,.700,7,1950,509,215,65,143,0,2,.307,1.00,0,17.40
22,Tommy Pham,,115,108,80,65,18,2,12,104,61,0,93,4,.244,381,.351,.396,.747,6,13,.684,9,1908,450,151,39,154,0,4,.301,1.35,0,31.75
23,Joey Gallo,,111,63,73,68,10,1,28,154,87,4,79,4,.214,369,.370,.474,.844,0,6,1.000,3,1939,460,175,61,163,0,0,.273,0.86,0,13.18
24,Jonathan India,,108,90,76,71,20,2,15,106,55,1,104,18,.280,372,.395,.465,.860,3,8,.727,11,1878,449,173,50,136,1,3,.350,1.18,0,24.80
25,Justin Turner,,107,77,125,63,17,0,21,75,47,0,112,10,.290,386,.379,.497,.876,0,1,1.000,9,1787,446,192,68,175,0,3,.311,0.62,0,18.38
26,Jose Altuve,,104,107,135,83,15,0,25,75,50,3,115,3,.270,426,.346,.481,.828,2,4,.667,7,1780,485,205,66,131,0,6,.271,0.79,0,17.04
27,Whit Merrifield,,116,126,148,64,26,2,8,71,33,1,126,3,.273,462,.320,.390,.709,2,33,.943,8,1856,507,180,56,153,0,9,.301,0.85,0,57.75
28,Adam Frazier,,115,114,143,69,30,5,4,55,37,1,143,7,.316,453,.376,.430,.806,4,6,.600,8,1826,499,195,34,136,1,1,.352,0.80,0,113.25
29,Giancarlo Stanton,,96,84,62,42,13,0,18,114,54,1,91,2,.260,350,.361,.451,.813,0,0,.---,15,1731,407,158,56,162,0,1,.333,1.35,0,19.44
30,Pete Alonso,,107,85,120,56,17,0,25,89,44,4,97,6,.250,388,.333,.487,.820,0,3,1.000,13,1593,441,189,65,201,0,3,.260,0.71,0,15.52
31,Max Muncy,,101,94,83,71,20,1,25,77,67,5,95,9,.272,349,.402,.550,.952,0,2,1.000,4,1733,425,192,69,147,0,0,.283,1.13,0,13.96
32,Austin Riley,,117,80,105,65,21,1,25,119,45,2,123,9,.293,420,.368,.526,.894,1,0,.000,10,1896,481,221,72,183,0,7,.346,0.76,0,16.80
33,Jorge Polanco,,110,89,146,71,23,2,21,77,38,0,112,5,.267,419,.332,.482,.814,4,9,.692,2,1812,467,202,63,147,0,5,.279,0.61,0,19.95
34,Brandon Lowe,,110,71,98,67,19,0,26,132,55,4,88,8,.227,387,.334,.478,.812,1,5,.833,2,1770,452,185,65,146,0,2,.268,0.72,0,14.88
35,Nelson Cruz,,104,100,92,55,16,1,24,87,41,6,101,5,.271,373,.345,.512,.857,0,3,1.000,12,1592,429,191,61,159,0,7,.286,1.09,3,15.54
36,Ryan McMahon,,110,77,99,65,22,1,18,112,42,2,102,3,.264,386,.338,.466,.804,2,4,.667,8,1735,435,180,60,172,0,4,.323,0.78,0,21.44
37,Matt Chapman,,115,67,107,60,12,3,17,150,58,0,91,3,.224,407,.319,.393,.712,1,3,.750,5,2037,476,160,55,173,0,8,.298,0.63,0,23.94
38,Mark Canha,,98,93,97,70,18,4,12,84,55,0,88,21,.244,361,.374,.416,.790,2,10,.833,7,1883,438,150,41,123,0,1,.286,0.96,0,30.08
39,DJ LeMahieu,,111,146,108,57,21,1,7,74,54,2,121,3,.271,446,.352,.370,.722,0,4,1.000,10,1979,506,165,47,163,0,3,.310,1.35,0,63.71
40,Tim Anderson,,100,134,70,73,24,1,13,96,18,1,128,1,.300,427,.329,.452,.781,7,16,.696,5,1643,447,193,48,139,0,1,.361,1.91,0,32.85
41,Cody Bellinger,,59,37,71,34,6,2,9,68,26,1,39,1,.183,213,.273,.357,.630,0,2,1.000,1,1015,242,76,29,115,0,2,.217,0.52,0,23.67
42,Carlos Correa,,107,101,105,75,26,0,18,90,57,2,107,3,.268,399,.361,.469,.829,0,0,.---,12,1946,463,187,62,183,0,4,.302,0.96,0,22.17
43,Buster Posey,,77,73,48,52,13,0,15,57,43,4,88,1,.331,266,.426,.549,.975,0,0,.---,11,1215,310,146,39,103,0,0,.376,1.52,0,17.73
44,Wander Franco,,41,45,48,25,6,3,6,32,14,0,40,1,.244,164,.306,.427,.732,1,2,.667,0,650,180,70,24,61,0,1,.268,0.94,0,27.33
45,Charlie Blackmon,,111,124,98,48,18,3,7,55,42,1,102,8,.270,378,.354,.389,.743,0,2,1.000,6,1555,429,147,52,169,0,1,.300,1.27,0,54.00
46,Dansby Swanson,,118,102,110,61,28,2,24,121,32,4,118,4,.265,446,.317,.498,.815,3,9,.750,7,1896,487,222,70,188,1,4,.308,0.93,0,18.58
47,Adam Duvall,,105,59,106,50,12,1,26,123,27,1,83,2,.226,368,.280,.476,.756,0,5,1.000,5,1539,400,175,79,164,0,3,.257,0.56,0,14.15
48,Bryan Reynolds,,115,94,100,68,26,3,21,96,51,4,129,6,.309,418,.391,.536,.927,2,3,.600,9,1849,476,224,71,180,0,1,.358,0.94,0,19.90
49,Will Smith,,97,60,100,53,14,2,18,70,44,3,81,14,.266,305,.377,.502,.878,0,2,1.000,10,1499,369,153,59,161,0,6,.283,0.60,0,16.94
50,Jorge Soler,,108,81,99,46,17,0,16,111,48,0,71,5,.198,359,.299,.379,.678,0,0,.---,10,1706,422,136,43,159,0,3,.234,0.82,7,22.44
51,Salvador Perez,,115,96,104,54,19,0,30,125,14,2,124,8,.277,447,.310,.521,.831,0,1,1.000,11,1715,471,233,75,188,0,2,.320,0.92,0,14.90
52,Brendan Rodgers,,62,67,39,27,10,2,9,51,15,0,62,6,.284,218,.346,.472,.818,0,0,.---,5,892,240,103,28,92,0,1,.333,1.72,0,24.22
53,Austin Nola,,33,23,32,6,6,0,1,10,11,0,26,5,.292,89,.393,.393,.786,0,0,.---,0,403,107,35,20,33,0,2,.313,0.72,0,89.00
54,Patrick Wisdom,,71,27,41,36,7,0,18,89,19,1,55,1,.259,212,.323,.547,.870,1,3,.750,3,1012,233,116,37,89,0,0,.352,0.66,1,11.78
55,Bryan De La Cruz,,16,9,12,3,2,0,2,19,3,0,17,0,.298,57,.333,.439,.772,0,0,.---,2,252,60,25,7,29,0,0,.417,0.75,0,28.50
56,Cedric Mullins,,113,92,120,67,29,4,20,89,41,1,139,6,.318,437,.382,.540,.922,7,22,.759,2,1891,488,236,40,119,0,3,.360,0.77,1,21.85
57,Austin Meadows,,108,69,144,65,25,1,21,101,51,3,94,5,.233,403,.323,.457,.780,2,3,.600,4,1909,464,184,77,174,0,5,.255,0.48,0,19.19
58,Max Kepler,,83,72,94,47,15,3,15,74,35,1,63,5,.210,300,.300,.430,.730,0,8,1.000,2,1316,343,129,43,128,0,3,.224,0.77,0,20.00
59,Corey Seager,,51,63,43,30,12,2,5,41,25,1,55,4,.274,201,.364,.428,.792,0,1,1.000,4,798,231,86,26,91,0,1,.321,1.47,0,40.20
60,Chris Taylor,,113,74,95,81,23,4,17,126,50,1,114,8,.279,408,.368,.480,.849,1,11,.917,5,1878,467,196,63,169,0,1,.365,0.78,0,24.00
61,Lewis Brinson,,51,33,28,18,11,0,7,41,7,0,40,1,.282,142,.320,.507,.827,0,0,.---,4,566,150,72,25,57,0,0,.351,1.18,0,20.29
62,Jed Lowrie,,111,90,111,50,20,0,13,86,42,1,100,2,.260,385,.334,.413,.747,0,0,.---,7,1704,431,159,62,154,0,2,.302,0.81,0,29.62
63,Brandon Crawford,,97,72,90,58,21,1,19,79,36,5,100,2,.298,336,.364,.536,.900,0,9,1.000,5,1473,379,180,69,144,0,5,.333,0.80,0,17.68
64,Elias Diaz,,73,72,67,31,9,0,13,43,22,0,52,0,.223,233,.289,.429,.718,0,0,.---,11,892,256,100,30,127,0,1,.219,1.07,0,17.92
65,Mike Zunino,,81,35,54,47,9,0,25,103,26,0,52,5,.214,243,.302,.560,.862,0,0,.---,4,1093,275,136,46,118,0,1,.233,0.65,0,9.72
66,Eugenio Suarez,,112,93,111,53,15,0,23,142,42,0,72,6,.173,415,.258,.376,.633,1,0,.000,12,1909,466,156,65,233,0,3,.194,0.84,0,18.04
67,Kyle Farmer,,112,86,113,44,15,2,11,64,17,1,92,16,.262,351,.323,.410,.733,3,2,.400,14,1440,388,144,43,154,1,3,.290,0.76,0,31.91
68,Yuli Gurriel,,101,89,127,55,24,0,12,46,43,1,117,4,.318,368,.385,.481,.866,1,1,.500,9,1644,426,177,66,142,0,11,.327,0.70,0,30.67
69,Rafael Ortega,,63,22,43,20,8,1,6,41,13,1,51,1,.327,156,.382,.506,.889,5,7,.583,1,717,171,79,18,51,1,0,.413,0.51,0,26.00
70,Jared Walsh,,102,101,64,47,23,1,22,118,28,4,101,3,.264,383,.318,.501,.819,1,2,.667,7,1610,415,192,70,157,0,1,.324,1.58,0,17.41
71,Michael Brantley,,94,108,96,61,28,2,8,44,27,0,123,5,.332,370,.385,.484,.868,0,1,1.000,10,1474,403,179,39,134,0,1,.361,1.13,0,46.25
72,Franmil Reyes,,74,63,45,38,12,2,20,98,25,2,70,1,.255,275,.318,.531,.849,0,3,1.000,8,1280,302,146,54,123,0,1,.316,1.40,0,13.75
73,AJ Pollock,,90,60,82,38,22,0,14,67,20,3,91,4,.304,299,.355,.518,.873,0,8,1.000,4,1117,324,155,47,125,0,1,.352,0.73,0,21.36
74,Luis Robert,,30,18,28,14,11,1,2,34,8,1,36,0,.313,115,.355,.478,.833,1,4,.800,1,399,124,55,11,50,0,1,.425,0.64,0,57.50
